Species,Medium,Temperature_C,Light_umol_m2_s,Nitrate_mg_L,Phosphate_mg_L,CO2_pct,pH,Biomass_g_L,Lipid_pct,Biofuel_mL_per_g,Energy_Output_MJ_per_kg,Source,Data_Type
Botryococcus braunii,BG-11,26.6,1323,1785.6,161.5,0.04,7.3,0.06,26.7,0.2579,22.87,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,Bold's Basal,9.7,74,1165.5,6.3,0.04,7.9,0.05,21.4,0.2067,21.8,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis subcordiformis,f/2 Medium,30.6,266,1359.9,12.7,14.34,8.7,0.16,20.5,0.198,21.62,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Wastewater,24.7,870,82.1,43.2,2.0,9.0,0.15,20.3,0.1961,21.58,Physics-constrained model (calibrated to species optima from literature),Modelled
Isochrysis galbana,f/2 Medium,29.7,387,1544.5,16.5,3.0,9.1,0.09,24.1,0.2328,22.34,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,BG-11,26.2,66,576.8,29.7,15.0,7.0,0.14,22.0,0.2125,21.92,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis subcordiformis,f/2 Medium,29.4,613,84.7,7.6,10.0,6.4,0.1,26.4,0.255,22.81,Physics-constrained model (calibrated to species optima from literature),Modelled
Isochrysis galbana,f/2 Medium,29.7,347,653.2,49.8,15.0,7.1,0.37,23.9,0.2309,22.3,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,Bold's Basal,34.1,908,1597.9,55.3,15.0,7.6,0.81,23.1,0.2231,22.14,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus sp.,BG-11,28.8,847,1677.1,30.1,2.0,5.5,0.12,16.4,0.1584,20.8,Physics-constrained model (calibrated to species optima from literature),Modelled
Chromochloris zofingiensis,BG-11,22.4,145,866.8,58.2,1.82,7.1,0.38,45.5,0.4395,26.65,Physics-constrained model (calibrated to species optima from literature),Modelled
Isochrysis galbana,f/2 Medium,10.9,287,786.7,169.7,0.04,7.5,0.05,23.3,0.2251,22.18,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 Medium,32.3,334,1464.3,65.1,3.0,7.0,0.78,22.5,0.2173,22.02,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,Bold's Basal,30.5,622,1231.4,84.6,15.0,5.7,0.16,21.7,0.2096,21.86,Physics-constrained model (calibrated to species optima from literature),Modelled
Ettlia sp. YC001,BG-11,25.8,1285,802.9,134.4,15.0,6.9,20.83,15.0,0.1449,20.52,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,Modified BG-11,31.4,458,76.9,84.8,0.04,7.5,0.08,25.9,0.2502,22.71,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,f/2 Medium,20.9,623,109.5,78.0,0.04,9.2,0.05,32.1,0.3101,23.95,Physics-constrained model (calibrated to species optima from literature),Modelled
Chromochloris zofingiensis,BG-11 N-stress,12.9,491,122.3,148.8,0.04,5.0,0.05,52.7,0.509,28.09,Physics-constrained model (calibrated to species optima from literature),Modelled
Chaetoceros muelleri,f/2 Medium,29.6,534,3049.1,36.1,8.17,9.3,0.1,42.6,0.4115,26.06,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,23.1,623,492.2,130.4,11.75,9.8,0.24,9.2,0.0889,19.35,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,Walne Medium,10.1,213,659.6,151.4,1.0,8.2,0.17,29.1,0.2811,23.35,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlamydomonas reinhardtii,Synthetic Medium,29.9,391,1241.7,140.0,12.89,5.1,0.14,15.2,0.1468,20.56,Physics-constrained model (calibrated to species optima from literature),Modelled
Parachlorella kessleri,BG-11,25.0,120,247.0,35.0,0.04,7.0,0.96,19.8,0.1913,21.48,PMC9655907 ARTP mutant 2022,Real (measured)
Chlorella vulgaris,BG-11,25.5,923,1271.3,111.6,0.04,6.1,0.11,17.6,0.17,21.04,Physics-constrained model (calibrated to species optima from literature),Modelled
Chromochloris zofingiensis,BG-11,24.0,585,1058.3,68.2,5.0,7.4,1.13,45.4,0.4385,26.63,Physics-constrained model (calibrated to species optima from literature),Modelled
Isochrysis galbana,f/2 Medium,13.2,240,1479.7,125.1,0.04,9.8,0.05,22.5,0.2173,22.02,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,39.2,249,3056.7,122.5,0.04,7.3,0.05,9.1,0.0879,19.33,Physics-constrained model (calibrated to species optima from literature),Modelled
Isochrysis galbana,f/2 N-stress,24.0,200,72.0,25.0,0.04,7.8,0.71,28.5,0.2753,23.23,Maltsev 2023 MCF 10.1186/s12934-023-02244-6,Real (measured)
Chlorella vulgaris,BG-11,30.0,500,300.0,45.0,5.0,7.0,2.27,26.8,0.2589,22.89,de Jesus 2023 FBioe 10.3389/fbioe.2023.1149762,Real (measured)
Monoraphidium braunii,Wastewater,25.0,100,110.0,18.0,0.04,7.5,0.62,22.4,0.2164,22.0,PMC10017629 wastewater coupling 2023,Real (measured)
Ankistrodesmus falcatus,BG-11,14.3,120,1132.8,131.9,3.0,9.0,0.05,46.5,0.4491,26.85,Physics-constrained model (calibrated to species optima from literature),Modelled
Botryococcus braunii,Bold's Basal,11.3,761,1381.1,173.9,3.0,7.3,0.05,24.7,0.2386,22.46,Physics-constrained model (calibrated to species optima from literature),Modelled
Chaetoceros muelleri,f/2 Medium,10.7,599,4319.1,111.5,1.0,8.1,0.05,41.1,0.397,25.76,Physics-constrained model (calibrated to species optima from literature),Modelled
Monoraphidium braunii,Synthetic Medium,20.5,38,996.7,54.2,1.0,7.5,0.08,23.7,0.2289,22.26,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus sp.,BG-11,15.0,815,234.8,113.6,0.04,7.7,0.06,18.3,0.1768,21.18,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloris sp.,f/2 Medium,14.5,515,382.1,116.7,0.04,8.4,0.05,21.9,0.2115,21.9,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Bold's Basal,21.4,78,750.4,105.7,0.04,8.8,0.05,18.7,0.1806,21.26,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,BG-11,30.0,300,300.0,45.0,3.0,7.1,1.8,19.3,0.1864,21.38,de Jesus 2023 FBioe 10.3389/fbioe.2023.1149762,Real (measured)
Nannochloropsis oculata,Walne Medium,20.0,150,150.0,20.0,0.04,8.0,0.6,30.8,0.2975,23.69,Converti 2009 CEP 10.1016/j.cep.2009.03.006,Real (measured)
Nannochloropsis sp.,f/2 Medium,25.0,200,200.0,25.0,0.04,7.5,0.32,18.5,0.1787,21.22,Khatoon 2020 JOUC 10.1007/s11802-020-4302-y,Real (measured)
Spirulina platensis,Zarrouk's Medium,35.0,200,2500.0,150.0,2.0,9.5,3.8,7.2,0.0695,18.95,BRT review 10.1016/j.biortech.2010.06.139,Real (measured)
Chlorella sorokiniana,Modified BG-11,24.7,1045,34.3,165.8,2.0,5.4,0.05,27.9,0.2695,23.11,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella pyrenoidosa,Modified BG-11,21.6,485,266.6,34.2,5.0,6.2,0.34,20.8,0.2009,21.68,Physics-constrained model (calibrated to species optima from literature),Modelled
Phaeodactylum tricornutum,f/2 Medium,14.7,495,1256.8,105.0,0.04,9.6,0.05,22.6,0.2183,22.04,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlamydomonas reinhardtii,Sewage Wastewater,25.0,100,110.0,18.0,0.04,7.6,0.95,12.4,0.1198,19.99,PMC10017629 wastewater coupling 2023,Real (measured)
Chlorella vulgaris,TAP,25.0,120,150.0,30.0,0.04,6.8,0.95,12.4,0.1198,19.99,Klok 2014 BRT 10.1016/j.biortech.2013.11.051,Real (measured)
Nannochloris sp.,f/2 Medium,13.5,298,1157.1,52.1,15.0,7.5,0.22,19.4,0.1874,21.4,Physics-constrained model (calibrated to species optima from literature),Modelled
Monoraphidium braunii,Wastewater,12.5,116,1218.6,37.2,8.0,6.0,0.05,21.9,0.2115,21.9,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,BG-11,30.6,923,1939.8,196.9,15.0,8.3,0.74,17.3,0.1671,20.98,Physics-constrained model (calibrated to species optima from literature),Modelled
Ankistrodesmus falcatus,BG-11 N-stress,15.6,126,1549.7,42.2,1.0,4.9,0.05,44.4,0.4289,26.42,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus sp.,BG-11,28.5,674,1689.3,179.3,0.04,8.7,0.05,16.7,0.1613,20.86,Physics-constrained model (calibrated to species optima from literature),Modelled
Ettlia sp. YC001,BG-11,14.7,682,655.3,55.7,9.74,6.2,5.53,15.8,0.1526,20.68,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Synthetic Medium,12.0,213,1587.0,169.9,8.0,9.4,0.06,15.3,0.1478,20.58,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis sp.,f/2 Medium,18.8,424,1636.6,149.6,2.0,9.0,0.19,19.9,0.1922,21.5,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,Wastewater,35.7,1267,1442.8,192.7,3.0,5.2,0.14,20.7,0.1999,21.66,Physics-constrained model (calibrated to species optima from literature),Modelled
Closterium sp.,Bold's Basal,14.8,118,1214.5,15.1,8.0,4.8,0.05,17.2,0.1661,20.96,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis subcordiformis,f/2 Medium,8.0,158,191.7,110.8,0.04,7.7,0.05,19.9,0.1922,21.5,Physics-constrained model (calibrated to species optima from literature),Modelled
Chaetoceros muelleri,f/2 Medium,20.0,135,5000.0,30.0,0.04,8.0,0.6,36.1,0.3487,24.76,Tan 2023 ICP 10.1016/j.indcrop.2023.116458,Real (measured)
Closterium sp.,Bold's Basal,16.2,174,28.6,51.1,0.04,9.3,0.05,24.9,0.2405,22.5,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,Bold's Basal,12.7,621,33.2,185.7,1.0,5.1,0.05,28.8,0.2782,23.29,Physics-constrained model (calibrated to species optima from literature),Modelled
Ankistrodesmus falcatus,BG-11,17.7,311,1802.9,122.9,0.04,6.2,0.05,43.2,0.4173,26.18,Physics-constrained model (calibrated to species optima from literature),Modelled
Isochrysis galbana,f/2 Medium,22.4,199,435.1,186.1,0.04,8.1,0.05,24.8,0.2395,22.48,Physics-constrained model (calibrated to species optima from literature),Modelled
Dunaliella salina,Modified f/2,30.0,300,150.0,20.0,0.04,7.6,0.58,14.8,0.143,20.47,Frontiers Enrg Res 2022 10.3389/fenrg.2022.912904,Real (measured)
Chlorella vulgaris,ORP Wastewater,29.0,900,130.0,16.0,0.04,7.9,1.6,18.1,0.1748,21.14,Supriyanto 2018 ORP 10.1016/j.egyr.2018.01.004,Real (measured)
Chlorella vulgaris,BG-11,25.0,160,247.0,35.0,10.0,7.0,0.62,16.8,0.1623,20.88,PMC10674991 Light/CO2 2023,Real (measured)
Botryococcus braunii,BG-11,9.6,1279,579.7,145.3,1.03,8.7,0.05,26.8,0.2589,22.89,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Synthetic Medium,16.4,538,1877.9,70.2,15.0,6.5,0.52,14.9,0.1439,20.49,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,f/2 Medium,30.0,855,358.4,9.8,2.34,6.5,0.09,32.0,0.3091,23.93,Physics-constrained model (calibrated to species optima from literature),Modelled
Ettlia sp. YC001,BG-11,14.9,997,288.9,24.1,1.0,4.9,0.16,16.5,0.1594,20.82,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Bold's Basal Medium,30.3,559,1764.9,128.4,0.04,8.6,0.08,15.5,0.1497,20.62,Physics-constrained model (calibrated to species optima from literature),Modelled
Phaeodactylum tricornutum,f/2 Medium,21.4,258,1429.2,199.5,2.0,5.6,0.05,23.1,0.2231,22.14,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Bold's Basal,26.3,192,1650.2,63.4,2.19,5.4,0.09,17.4,0.1681,21.0,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,24.9,631,2817.0,184.0,0.04,7.3,0.05,8.6,0.0831,19.23,Physics-constrained model (calibrated to species optima from literature),Modelled
Monoraphidium braunii,Synthetic Medium,20.2,100,867.0,30.4,5.0,7.6,0.24,24.3,0.2347,22.38,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,BG-11,25.0,100,670.0,80.0,5.0,7.0,1.65,18.5,0.1787,21.22,Montoya-Vallejo 2023 10.3389/fbioe.2023.1149762,Real (measured)
Isochrysis galbana,f/2 Medium,27.5,544,1253.3,154.0,10.0,8.2,0.7,22.7,0.2193,22.06,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 Medium,39.9,404,497.2,73.3,2.0,8.3,0.47,24.9,0.2405,22.5,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,BG-11,35.0,400,300.0,45.0,5.0,7.0,1.7,19.8,0.1913,21.48,de Jesus 2023 FBioe 10.3389/fbioe.2023.1149762,Real (measured)
Chlorella vulgaris,ORP Wastewater,28.0,850,120.0,15.0,0.04,7.8,1.45,16.4,0.1584,20.8,Supriyanto 2018 ORP 10.1016/j.egyr.2018.01.004,Real (measured)
Ankistrodesmus falcatus,BG-11,14.5,386,3980.0,89.4,5.0,5.4,0.12,42.1,0.4066,25.96,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 N-stress,30.0,203,1483.0,131.3,2.0,5.8,0.1,22.9,0.2212,22.1,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlamydomonas reinhardtii,Sewage Wastewater,18.0,28,1021.9,102.4,0.04,6.2,0.05,13.0,0.1256,20.11,Physics-constrained model (calibrated to species optima from literature),Modelled
Parachlorella kessleri,BG-11,12.6,453,111.4,119.9,14.76,8.5,0.06,23.5,0.227,22.22,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,BG-11,20.1,426,357.5,165.2,5.0,5.9,0.19,23.0,0.2222,22.12,Physics-constrained model (calibrated to species optima from literature),Modelled
Ankistrodesmus falcatus,BG-11,25.0,120,750.0,60.0,0.04,7.0,1.1,59.6,0.5757,29.48,Singh 2014 BRT 10.1016/j.biortech.2014.05.106,Real (measured)
Scenedesmus quadricauda,BG-11,32.5,953,29.0,153.1,0.04,9.8,0.05,32.7,0.3159,24.07,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 N-stress,30.9,560,1243.7,114.3,3.0,8.0,0.92,21.1,0.2038,21.74,Physics-constrained model (calibrated to species optima from literature),Modelled
Isochrysis galbana,f/2 Medium,29.4,143,985.2,130.1,6.32,5.4,0.05,24.7,0.2386,22.46,Physics-constrained model (calibrated to species optima from literature),Modelled
Chromochloris zofingiensis,BG-11 N-stress,20.7,579,721.9,88.9,2.0,5.3,0.15,46.6,0.4501,26.87,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella pyrenoidosa,BG-11,12.5,723,466.4,175.0,5.0,7.3,0.05,19.3,0.1864,21.38,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,BG-11,21.6,63,225.7,124.8,0.04,7.4,0.05,21.1,0.2038,21.74,Physics-constrained model (calibrated to species optima from literature),Modelled
Parachlorella kessleri,BG-11,31.1,184,1630.7,150.3,0.04,9.1,0.05,21.2,0.2048,21.76,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,Bold's Basal,24.9,420,1499.6,68.0,3.0,5.8,0.14,19.5,0.1884,21.42,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlamydomonas reinhardtii,TAP,31.4,375,1106.7,43.9,8.0,4.7,0.05,14.6,0.141,20.43,Physics-constrained model (calibrated to species optima from literature),Modelled
Phaeodactylum tricornutum,f/2 Medium,20.0,120,150.0,25.0,0.04,8.0,0.75,20.5,0.198,21.62,Frontiers Enrg Res 2022 10.3389/fenrg.2022.912904,Real (measured)
Isochrysis galbana,f/2 Medium,24.8,263,2130.4,49.7,5.0,7.8,0.57,22.3,0.2154,21.98,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Synthetic Medium,34.1,140,1357.0,163.3,0.04,6.4,0.05,15.8,0.1526,20.68,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,Walne Medium,15.1,768,40.8,84.2,2.0,6.3,0.05,33.5,0.3236,24.23,Physics-constrained model (calibrated to species optima from literature),Modelled
Botryococcus braunii,Bold's Basal,30.8,1245,1223.0,62.9,8.0,8.1,0.16,27.5,0.2656,23.03,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,Modified BG-11,19.1,492,1436.7,161.9,2.0,6.1,0.05,18.5,0.1787,21.22,Physics-constrained model (calibrated to species optima from literature),Modelled
Parachlorella kessleri,BG-11,23.4,418,505.6,126.9,3.0,6.3,0.52,22.1,0.2135,21.94,Physics-constrained model (calibrated to species optima from literature),Modelled
Chaetoceros muelleri,f/2 Medium,30.7,319,2238.4,111.4,2.0,7.7,0.28,42.2,0.4076,25.98,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Wastewater,22.5,994,594.2,92.8,0.04,9.2,0.05,19.0,0.1835,21.32,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,32.0,200,2500.0,150.0,1.0,9.2,3.2,7.5,0.0724,19.01,BRT review 10.1016/j.biortech.2010.06.139,Real (measured)
Scenedesmus quadricauda,Bold's Basal,13.9,65,707.7,142.9,3.0,7.1,0.11,21.6,0.2086,21.84,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis sp.,f/2 Medium,21.0,200,200.0,30.0,0.04,7.5,0.72,18.6,0.1797,21.24,Baweja 2025 RSOS 10.1098/rsos.241336,Real (measured)
Chromochloris zofingiensis,BG-11 N-stress,12.5,78,1313.6,12.3,10.0,8.0,0.05,45.4,0.4385,26.63,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,BG-11,31.5,922,602.3,49.8,1.0,5.4,0.09,21.7,0.2096,21.86,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,Walne Medium,19.8,402,1497.9,32.4,10.0,7.1,0.06,24.8,0.2395,22.48,Physics-constrained model (calibrated to species optima from literature),Modelled
Neochloris oleoabundans,BG-11 N-stress,25.0,150,41.0,35.0,2.0,7.0,0.48,68.5,0.6616,31.27,PMC10804497 biofuel review 2024,Real (measured)
Isochrysis galbana,f/2 Medium,19.8,602,1774.6,159.6,0.04,5.5,0.05,22.7,0.2193,22.06,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,TAP,22.7,210,1004.6,32.2,3.0,6.5,0.39,17.8,0.1719,21.08,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Wastewater,28.5,352,1320.5,145.9,1.0,9.2,0.05,17.1,0.1652,20.94,Physics-constrained model (calibrated to species optima from literature),Modelled
Monoraphidium braunii,Wastewater,13.0,48,283.1,99.7,0.04,5.4,0.05,24.5,0.2366,22.42,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,Walne Medium,21.3,435,830.5,81.1,15.0,8.3,0.06,22.4,0.2164,22.0,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,BG-11,25.0,300,247.0,35.0,0.04,7.0,1.52,18.3,0.1768,21.18,Converti 2009 CEP 10.1016/j.cep.2009.03.006,Real (measured)
Chlorococcum sp.,BG-11 N-stress,23.1,130,1327.5,153.8,0.04,4.7,0.05,23.1,0.2231,22.14,Physics-constrained model (calibrated to species optima from literature),Modelled
Ankistrodesmus falcatus,BG-11 N-stress,25.0,303,4426.4,135.1,0.04,5.0,0.05,42.5,0.4105,26.04,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,20.5,506,3006.0,138.7,0.04,7.1,0.05,6.8,0.0657,18.87,Physics-constrained model (calibrated to species optima from literature),Modelled
Phaeodactylum tricornutum,f/2 Medium,9.6,53,154.5,118.8,2.0,7.7,0.08,23.8,0.2299,22.28,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,Walne Medium,23.4,595,655.0,38.1,10.0,6.3,0.17,29.2,0.282,23.37,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,ORP Wastewater,31.6,804,815.7,163.2,1.0,4.7,0.05,19.5,0.1884,21.42,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 Medium,27.8,143,142.1,107.5,2.0,8.3,0.14,26.5,0.256,22.83,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorococcum sp.,BG-11 N-stress,13.5,233,1119.3,25.8,0.04,5.9,0.05,22.4,0.2164,22.0,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Synthetic Medium,15.5,729,1093.9,152.6,3.0,8.1,0.61,15.2,0.1468,20.56,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,f/2 Medium,29.9,543,57.6,26.9,0.04,10.4,0.05,35.6,0.3439,24.66,Physics-constrained model (calibrated to species optima from literature),Modelled
Dunaliella salina,Modified f/2,20.2,46,1414.1,65.2,15.0,8.6,0.05,16.9,0.1632,20.9,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,ORP Wastewater,36.1,1101,964.4,67.0,1.0,8.8,0.11,20.5,0.198,21.62,Physics-constrained model (calibrated to species optima from literature),Modelled
Botryococcus braunii,Bold's Basal,9.3,1497,473.2,110.6,15.0,8.5,0.05,29.2,0.282,23.37,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis sp.,f/2 Medium,24.9,137,789.9,178.8,1.0,6.5,0.14,21.4,0.2067,21.8,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloris sp.,f/2 Medium,26.2,77,436.1,86.3,10.0,9.3,0.05,20.9,0.2019,21.7,Physics-constrained model (calibrated to species optima from literature),Modelled
Dunaliella salina,Modified f/2,25.7,654,206.9,89.3,3.0,9.3,0.09,18.6,0.1797,21.24,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,Walne Medium,18.1,389,58.7,86.5,0.04,10.3,0.05,33.3,0.3216,24.19,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,22.3,204,2990.9,89.5,0.04,8.6,0.05,7.3,0.0705,18.97,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 N-stress,25.0,200,25.0,25.0,5.0,7.5,0.28,35.2,0.34,24.58,Maltsev 2023 MCF 10.1186/s12934-023-02244-6,Real (measured)
Nannochloropsis oculata,Walne Medium,28.0,444,701.3,2.9,11.81,9.9,0.05,32.4,0.313,24.01,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,BG-11,39.8,87,924.2,142.9,5.0,5.3,0.05,21.3,0.2057,21.78,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorococcum sp.,BG-11 N-stress,22.8,48,341.4,33.9,2.0,9.1,0.05,24.5,0.2366,22.42,Physics-constrained model (calibrated to species optima from literature),Modelled
Isochrysis galbana,f/2 Medium,21.5,126,1129.5,75.2,0.04,8.9,0.05,22.2,0.2144,21.96,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Modified BG-11,31.3,538,1717.9,140.1,3.0,8.4,0.43,18.7,0.1806,21.26,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,23.2,176,4926.9,141.8,5.0,6.7,0.05,8.3,0.0802,19.17,Physics-constrained model (calibrated to species optima from literature),Modelled
Chaetoceros muelleri,f/2 Medium,15.1,624,2722.8,177.4,0.04,7.9,0.05,41.6,0.4018,25.86,Physics-constrained model (calibrated to species optima from literature),Modelled
Ankistrodesmus falcatus,BG-11,18.6,317,313.8,164.8,0.04,8.5,0.05,51.0,0.4926,27.75,Physics-constrained model (calibrated to species optima from literature),Modelled
Ettlia sp. YC001,BG-11,25.0,300,300.0,40.0,5.0,7.0,2.8,12.8,0.1236,20.07,Sung 2018 PMC6193934 10.1371/journal.pone.0203980,Real (measured)
Scenedesmus quadricauda,Bold's Basal,16.0,50,786.7,41.6,2.0,5.8,0.05,20.5,0.198,21.62,Physics-constrained model (calibrated to species optima from literature),Modelled
Chromochloris zofingiensis,BG-11,12.6,138,477.5,7.9,10.0,8.7,0.05,46.2,0.4462,26.79,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,Bold's Basal,28.6,814,1424.9,22.4,5.0,6.1,0.23,22.0,0.2125,21.92,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,BG-11,36.0,696,1971.2,94.1,0.04,8.6,0.05,20.0,0.1932,21.52,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Synthetic Medium,15.6,450,1013.0,117.4,15.0,8.9,0.34,14.6,0.141,20.43,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,Bold's Basal,21.4,862,899.3,57.3,15.0,7.6,0.94,22.2,0.2144,21.96,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Wastewater,13.3,158,180.0,132.3,6.3,8.0,0.13,22.5,0.2173,22.02,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,ORP Wastewater,24.3,538,48.1,165.6,5.0,5.3,0.07,25.5,0.2463,22.63,Physics-constrained model (calibrated to species optima from literature),Modelled
Neochloris oleoabundans,BG-11,8.5,127,1333.9,126.7,0.04,8.5,0.05,44.4,0.4289,26.42,Physics-constrained model (calibrated to species optima from literature),Modelled
Phaeodactylum tricornutum,f/2 Medium,18.0,234,1631.9,159.0,15.0,10.5,0.05,21.8,0.2106,21.88,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,Modified BG-11,31.1,1397,1403.3,119.9,3.0,7.1,1.31,18.7,0.1806,21.26,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis sp.,f/2 Medium,24.4,328,1566.6,42.8,5.0,7.5,0.55,19.8,0.1913,21.48,Physics-constrained model (calibrated to species optima from literature),Modelled
Dunaliella salina,Modified f/2,10.6,666,205.3,103.2,10.0,6.5,0.05,17.4,0.1681,21.0,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorococcum sp.,BG-11 N-stress,15.6,101,617.9,67.9,10.0,5.4,0.05,23.3,0.2251,22.18,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,Bold's Basal,29.5,390,1063.2,119.5,0.04,7.5,0.09,22.2,0.2144,21.96,Physics-constrained model (calibrated to species optima from literature),Modelled
Ettlia sp. YC001,BG-11,18.6,289,666.3,80.7,1.0,9.4,0.13,15.3,0.1478,20.58,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Bold's Basal,24.7,627,1715.9,93.6,10.0,7.8,1.18,17.9,0.1729,21.1,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,TAP,12.7,1015,1805.8,196.0,5.0,7.8,0.52,17.4,0.1681,21.0,Physics-constrained model (calibrated to species optima from literature),Modelled
